"group_id"	"tissue_fov"	"IT.Treatment.before.collection"	"lasso_final"	"Source"
"RCC3-19_None_Podocyte_Tumor"	"RCC3-19"	"None"	"Podocyte"	"Tumor"
"RCC3-19_None_Proximal tubule_Tumor"	"RCC3-19"	"None"	"Proximal tubule"	"Tumor"
"RCC3-19_None_Regulatory T cell_Tumor"	"RCC3-19"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-19_None_Tumor_Tumor"	"RCC3-19"	"None"	"Tumor"	"Tumor"
"RCC3-19_None_Vasa recta endothelium_Tumor"	"RCC3-19"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-2_None_B cell_Stroma"	"RCC3-2"	"None"	"B cell"	"Stroma"
"RCC3-2_None_Capillary endothelium_Stroma"	"RCC3-2"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-2_None_CD8 T cell_Stroma"	"RCC3-2"	"None"	"CD8 T cell"	"Stroma"
"RCC3-2_None_Collecting duct cell_Stroma"	"RCC3-2"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-2_None_Epithelial progenitor cell_Stroma"	"RCC3-2"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC3-2_None_Fibroblast_Stroma"	"RCC3-2"	"None"	"Fibroblast"	"Stroma"
"RCC3-2_None_gdT cell_Stroma"	"RCC3-2"	"None"	"gdT cell"	"Stroma"
"RCC3-2_None_Glomerular endothelium_Stroma"	"RCC3-2"	"None"	"Glomerular endothelium"	"Stroma"
"RCC3-2_None_Intercalated Cell_Stroma"	"RCC3-2"	"None"	"Intercalated Cell"	"Stroma"
"RCC3-2_None_M1 Macrophage (STAT1)_Stroma"	"RCC3-2"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC3-2_None_M2 macrophage (CD163)_Stroma"	"RCC3-2"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-2_None_Mast cell_Stroma"	"RCC3-2"	"None"	"Mast cell"	"Stroma"
"RCC3-2_None_Myeloid DC_Stroma"	"RCC3-2"	"None"	"Myeloid DC"	"Stroma"
"RCC3-2_None_Myofibroblast_Stroma"	"RCC3-2"	"None"	"Myofibroblast"	"Stroma"
"RCC3-2_None_Naive B cell_Stroma"	"RCC3-2"	"None"	"Naive B cell"	"Stroma"
"RCC3-2_None_Naive CD4 T cell_Stroma"	"RCC3-2"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-2_None_Naive T cell_Stroma"	"RCC3-2"	"None"	"Naive T cell"	"Stroma"
"RCC3-2_None_Neutrophil_Stroma"	"RCC3-2"	"None"	"Neutrophil"	"Stroma"
"RCC3-2_None_NK cell_Stroma"	"RCC3-2"	"None"	"NK cell"	"Stroma"
"RCC3-2_None_Non-classical monocyte_Stroma"	"RCC3-2"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-2_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-2"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-2_None_Podocyte_Stroma"	"RCC3-2"	"None"	"Podocyte"	"Stroma"
"RCC3-2_None_Principal cell_Stroma"	"RCC3-2"	"None"	"Principal cell"	"Stroma"
"RCC3-2_None_Proximal tubule_Stroma"	"RCC3-2"	"None"	"Proximal tubule"	"Stroma"
"RCC3-2_None_Regulatory T cell_Stroma"	"RCC3-2"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-2_None_Tumor_Stroma"	"RCC3-2"	"None"	"Tumor"	"Stroma"
"RCC3-2_None_Vasa recta endothelium_Stroma"	"RCC3-2"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-20_None_B cell_Stroma"	"RCC3-20"	"None"	"B cell"	"Stroma"
"RCC3-20_None_Capillary endothelium_Stroma"	"RCC3-20"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-20_None_CD8 T cell_Stroma"	"RCC3-20"	"None"	"CD8 T cell"	"Stroma"
"RCC3-20_None_Collecting duct cell_Stroma"	"RCC3-20"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-20_None_Epithelial progenitor cell_Stroma"	"RCC3-20"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC3-20_None_Fibroblast_Stroma"	"RCC3-20"	"None"	"Fibroblast"	"Stroma"
"RCC3-20_None_gdT cell_Stroma"	"RCC3-20"	"None"	"gdT cell"	"Stroma"
"RCC3-20_None_Glomerular endothelium_Stroma"	"RCC3-20"	"None"	"Glomerular endothelium"	"Stroma"
"RCC3-20_None_Intercalated Cell_Stroma"	"RCC3-20"	"None"	"Intercalated Cell"	"Stroma"
"RCC3-20_None_M1 Macrophage (STAT1)_Stroma"	"RCC3-20"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC3-20_None_M2 macrophage (CD163)_Stroma"	"RCC3-20"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-20_None_Mast cell_Stroma"	"RCC3-20"	"None"	"Mast cell"	"Stroma"
"RCC3-20_None_Myeloid DC_Stroma"	"RCC3-20"	"None"	"Myeloid DC"	"Stroma"
"RCC3-20_None_Myofibroblast_Stroma"	"RCC3-20"	"None"	"Myofibroblast"	"Stroma"
"RCC3-20_None_Naive B cell_Stroma"	"RCC3-20"	"None"	"Naive B cell"	"Stroma"
"RCC3-20_None_Naive CD4 T cell_Stroma"	"RCC3-20"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-20_None_Naive T cell_Stroma"	"RCC3-20"	"None"	"Naive T cell"	"Stroma"
"RCC3-20_None_Neutrophil_Stroma"	"RCC3-20"	"None"	"Neutrophil"	"Stroma"
"RCC3-20_None_NK cell_Stroma"	"RCC3-20"	"None"	"NK cell"	"Stroma"
"RCC3-20_None_Non-classical monocyte_Stroma"	"RCC3-20"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-20_None_Pelvic epithelium_Stroma"	"RCC3-20"	"None"	"Pelvic epithelium"	"Stroma"
"RCC3-20_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-20"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-20_None_Podocyte_Stroma"	"RCC3-20"	"None"	"Podocyte"	"Stroma"
"RCC3-20_None_Principal cell_Stroma"	"RCC3-20"	"None"	"Principal cell"	"Stroma"
"RCC3-20_None_Proximal tubule_Stroma"	"RCC3-20"	"None"	"Proximal tubule"	"Stroma"
"RCC3-20_None_Regulatory T cell_Stroma"	"RCC3-20"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-20_None_Tumor_Stroma"	"RCC3-20"	"None"	"Tumor"	"Stroma"
"RCC3-20_None_Vasa recta endothelium_Stroma"	"RCC3-20"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-21_None_B cell_Tumor"	"RCC3-21"	"None"	"B cell"	"Tumor"
"RCC3-21_None_Capillary endothelium_Tumor"	"RCC3-21"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-21_None_CD8 T cell_Tumor"	"RCC3-21"	"None"	"CD8 T cell"	"Tumor"
"RCC3-21_None_Collecting duct cell_Tumor"	"RCC3-21"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-21_None_Epithelial progenitor cell_Tumor"	"RCC3-21"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-21_None_Fibroblast_Tumor"	"RCC3-21"	"None"	"Fibroblast"	"Tumor"
"RCC3-21_None_gdT cell_Tumor"	"RCC3-21"	"None"	"gdT cell"	"Tumor"
"RCC3-21_None_Intercalated Cell_Tumor"	"RCC3-21"	"None"	"Intercalated Cell"	"Tumor"
"RCC3-21_None_Intermediate monocyte_Tumor"	"RCC3-21"	"None"	"Intermediate monocyte"	"Tumor"
"RCC3-21_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-21"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-21_None_M2 macrophage (CD163)_Tumor"	"RCC3-21"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-21_None_Mast cell_Tumor"	"RCC3-21"	"None"	"Mast cell"	"Tumor"
"RCC3-21_None_Myeloid DC_Tumor"	"RCC3-21"	"None"	"Myeloid DC"	"Tumor"
"RCC3-21_None_Myofibroblast_Tumor"	"RCC3-21"	"None"	"Myofibroblast"	"Tumor"
"RCC3-21_None_Naive B cell_Tumor"	"RCC3-21"	"None"	"Naive B cell"	"Tumor"
"RCC3-21_None_Naive T cell_Tumor"	"RCC3-21"	"None"	"Naive T cell"	"Tumor"
"RCC3-21_None_Neutrophil_Tumor"	"RCC3-21"	"None"	"Neutrophil"	"Tumor"
"RCC3-21_None_NK cell_Tumor"	"RCC3-21"	"None"	"NK cell"	"Tumor"
"RCC3-21_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-21"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-21_None_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC3-21"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC3-21_None_Proximal tubule_Tumor"	"RCC3-21"	"None"	"Proximal tubule"	"Tumor"
"RCC3-21_None_Regulatory T cell_Tumor"	"RCC3-21"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-21_None_Tumor_Tumor"	"RCC3-21"	"None"	"Tumor"	"Tumor"
"RCC3-21_None_Vasa recta endothelium_Tumor"	"RCC3-21"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-22_None_B cell_Stroma"	"RCC3-22"	"None"	"B cell"	"Stroma"
"RCC3-22_None_Capillary endothelium_Stroma"	"RCC3-22"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-22_None_CD8 T cell_Stroma"	"RCC3-22"	"None"	"CD8 T cell"	"Stroma"
"RCC3-22_None_Classical monocyte_Stroma"	"RCC3-22"	"None"	"Classical monocyte"	"Stroma"
"RCC3-22_None_Collecting duct cell_Stroma"	"RCC3-22"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-22_None_Epithelial progenitor cell_Stroma"	"RCC3-22"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC3-22_None_Fibroblast_Stroma"	"RCC3-22"	"None"	"Fibroblast"	"Stroma"
"RCC3-22_None_gdT cell_Stroma"	"RCC3-22"	"None"	"gdT cell"	"Stroma"
"RCC3-22_None_Glomerular endothelium_Stroma"	"RCC3-22"	"None"	"Glomerular endothelium"	"Stroma"
"RCC3-22_None_Intercalated Cell_Stroma"	"RCC3-22"	"None"	"Intercalated Cell"	"Stroma"
"RCC3-22_None_M1 Macrophage (STAT1)_Stroma"	"RCC3-22"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC3-22_None_M2 macrophage (CD163)_Stroma"	"RCC3-22"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-22_None_Mast cell_Stroma"	"RCC3-22"	"None"	"Mast cell"	"Stroma"
"RCC3-22_None_Myeloid DC_Stroma"	"RCC3-22"	"None"	"Myeloid DC"	"Stroma"
"RCC3-22_None_Myofibroblast_Stroma"	"RCC3-22"	"None"	"Myofibroblast"	"Stroma"
"RCC3-22_None_Naive B cell_Stroma"	"RCC3-22"	"None"	"Naive B cell"	"Stroma"
"RCC3-22_None_Naive CD4 T cell_Stroma"	"RCC3-22"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-22_None_Naive T cell_Stroma"	"RCC3-22"	"None"	"Naive T cell"	"Stroma"
"RCC3-22_None_Neutrophil_Stroma"	"RCC3-22"	"None"	"Neutrophil"	"Stroma"
"RCC3-22_None_NK cell_Stroma"	"RCC3-22"	"None"	"NK cell"	"Stroma"
"RCC3-22_None_Non-classical monocyte_Stroma"	"RCC3-22"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-22_None_Pelvic epithelium_Stroma"	"RCC3-22"	"None"	"Pelvic epithelium"	"Stroma"
"RCC3-22_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-22"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-22_None_Podocyte_Stroma"	"RCC3-22"	"None"	"Podocyte"	"Stroma"
"RCC3-22_None_Principal cell_Stroma"	"RCC3-22"	"None"	"Principal cell"	"Stroma"
"RCC3-22_None_Proximal tubule_Stroma"	"RCC3-22"	"None"	"Proximal tubule"	"Stroma"
"RCC3-22_None_Regulatory T cell_Stroma"	"RCC3-22"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-22_None_Tumor_Stroma"	"RCC3-22"	"None"	"Tumor"	"Stroma"
"RCC3-22_None_Vasa recta endothelium_Stroma"	"RCC3-22"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-3_None_B cell_Tumor"	"RCC3-3"	"None"	"B cell"	"Tumor"
"RCC3-3_None_Capillary endothelium_Tumor"	"RCC3-3"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-3_None_CD8 T cell_Tumor"	"RCC3-3"	"None"	"CD8 T cell"	"Tumor"
"RCC3-3_None_Collecting duct cell_Tumor"	"RCC3-3"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-3_None_Epithelial progenitor cell_Tumor"	"RCC3-3"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-3_None_gdT cell_Tumor"	"RCC3-3"	"None"	"gdT cell"	"Tumor"
"RCC3-3_None_Intermediate monocyte_Tumor"	"RCC3-3"	"None"	"Intermediate monocyte"	"Tumor"
"RCC3-3_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-3"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-3_None_M2 macrophage (CD163)_Tumor"	"RCC3-3"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-3_None_Mast cell_Tumor"	"RCC3-3"	"None"	"Mast cell"	"Tumor"
"RCC3-3_None_Myeloid DC_Tumor"	"RCC3-3"	"None"	"Myeloid DC"	"Tumor"
"RCC3-3_None_Myofibroblast_Tumor"	"RCC3-3"	"None"	"Myofibroblast"	"Tumor"
"RCC3-3_None_Naive B cell_Tumor"	"RCC3-3"	"None"	"Naive B cell"	"Tumor"
"RCC3-3_None_Naive CD4 T cell_Tumor"	"RCC3-3"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC3-3_None_Naive T cell_Tumor"	"RCC3-3"	"None"	"Naive T cell"	"Tumor"
"RCC3-3_None_Neutrophil_Tumor"	"RCC3-3"	"None"	"Neutrophil"	"Tumor"
"RCC3-3_None_NK cell_Tumor"	"RCC3-3"	"None"	"NK cell"	"Tumor"
"RCC3-3_None_Non-classical monocyte_Tumor"	"RCC3-3"	"None"	"Non-classical monocyte"	"Tumor"
"RCC3-3_None_Pelvic epithelium_Tumor"	"RCC3-3"	"None"	"Pelvic epithelium"	"Tumor"
"RCC3-3_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-3"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-3_None_Podocyte_Tumor"	"RCC3-3"	"None"	"Podocyte"	"Tumor"
"RCC3-3_None_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC3-3"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC3-3_None_Proximal tubule_Tumor"	"RCC3-3"	"None"	"Proximal tubule"	"Tumor"
"RCC3-3_None_Regulatory T cell_Tumor"	"RCC3-3"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-3_None_Tumor_Tumor"	"RCC3-3"	"None"	"Tumor"	"Tumor"
"RCC3-3_None_Vasa recta endothelium_Tumor"	"RCC3-3"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-4_None_B cell_Stroma"	"RCC3-4"	"None"	"B cell"	"Stroma"
"RCC3-4_None_Capillary endothelium_Stroma"	"RCC3-4"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-4_None_CD8 T cell_Stroma"	"RCC3-4"	"None"	"CD8 T cell"	"Stroma"
"RCC3-4_None_Collecting duct cell_Stroma"	"RCC3-4"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-4_None_Epithelial progenitor cell_Stroma"	"RCC3-4"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC3-4_None_Fibroblast_Stroma"	"RCC3-4"	"None"	"Fibroblast"	"Stroma"
"RCC3-4_None_gdT cell_Stroma"	"RCC3-4"	"None"	"gdT cell"	"Stroma"
"RCC3-4_None_Glomerular endothelium_Stroma"	"RCC3-4"	"None"	"Glomerular endothelium"	"Stroma"
"RCC3-4_None_Intercalated Cell_Stroma"	"RCC3-4"	"None"	"Intercalated Cell"	"Stroma"
"RCC3-4_None_M1 Macrophage (STAT1)_Stroma"	"RCC3-4"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC3-4_None_M2 macrophage (CD163)_Stroma"	"RCC3-4"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-4_None_Mast cell_Stroma"	"RCC3-4"	"None"	"Mast cell"	"Stroma"
"RCC3-4_None_Myeloid DC_Stroma"	"RCC3-4"	"None"	"Myeloid DC"	"Stroma"
"RCC3-4_None_Myofibroblast_Stroma"	"RCC3-4"	"None"	"Myofibroblast"	"Stroma"
"RCC3-4_None_Naive B cell_Stroma"	"RCC3-4"	"None"	"Naive B cell"	"Stroma"
"RCC3-4_None_Naive CD4 T cell_Stroma"	"RCC3-4"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-4_None_Naive T cell_Stroma"	"RCC3-4"	"None"	"Naive T cell"	"Stroma"
"RCC3-4_None_Neutrophil_Stroma"	"RCC3-4"	"None"	"Neutrophil"	"Stroma"
"RCC3-4_None_NK cell_Stroma"	"RCC3-4"	"None"	"NK cell"	"Stroma"
"RCC3-4_None_Non-classical monocyte_Stroma"	"RCC3-4"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-4_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-4"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-4_None_Podocyte_Stroma"	"RCC3-4"	"None"	"Podocyte"	"Stroma"
"RCC3-4_None_Principal cell_Stroma"	"RCC3-4"	"None"	"Principal cell"	"Stroma"
"RCC3-4_None_Proximal tubule_Stroma"	"RCC3-4"	"None"	"Proximal tubule"	"Stroma"
"RCC3-4_None_Regulatory T cell_Stroma"	"RCC3-4"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-4_None_Tumor_Stroma"	"RCC3-4"	"None"	"Tumor"	"Stroma"
"RCC3-4_None_Vasa recta endothelium_Stroma"	"RCC3-4"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-5_None_Capillary endothelium_Tumor"	"RCC3-5"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-5_None_CD8 T cell_Tumor"	"RCC3-5"	"None"	"CD8 T cell"	"Tumor"
"RCC3-5_None_Collecting duct cell_Tumor"	"RCC3-5"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-5_None_Epithelial progenitor cell_Tumor"	"RCC3-5"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-5_None_Fibroblast_Tumor"	"RCC3-5"	"None"	"Fibroblast"	"Tumor"
"RCC3-5_None_Intermediate monocyte_Tumor"	"RCC3-5"	"None"	"Intermediate monocyte"	"Tumor"
"RCC3-5_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-5"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-5_None_M2 macrophage (CD163)_Tumor"	"RCC3-5"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-5_None_Mast cell_Tumor"	"RCC3-5"	"None"	"Mast cell"	"Tumor"
"RCC3-5_None_Myeloid DC_Tumor"	"RCC3-5"	"None"	"Myeloid DC"	"Tumor"
"RCC3-5_None_Myofibroblast_Tumor"	"RCC3-5"	"None"	"Myofibroblast"	"Tumor"
"RCC3-5_None_Naive CD4 T cell_Tumor"	"RCC3-5"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC3-5_None_Naive T cell_Tumor"	"RCC3-5"	"None"	"Naive T cell"	"Tumor"
"RCC3-5_None_Neutrophil_Tumor"	"RCC3-5"	"None"	"Neutrophil"	"Tumor"
"RCC3-5_None_NK cell_Tumor"	"RCC3-5"	"None"	"NK cell"	"Tumor"
"RCC3-5_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-5"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-5_None_Podocyte_Tumor"	"RCC3-5"	"None"	"Podocyte"	"Tumor"
"RCC3-5_None_Principal cell_Tumor"	"RCC3-5"	"None"	"Principal cell"	"Tumor"
"RCC3-5_None_Proximal tubule_Tumor"	"RCC3-5"	"None"	"Proximal tubule"	"Tumor"
"RCC3-5_None_Regulatory T cell_Tumor"	"RCC3-5"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-5_None_Tumor_Tumor"	"RCC3-5"	"None"	"Tumor"	"Tumor"
"RCC3-5_None_Vasa recta endothelium_Tumor"	"RCC3-5"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-6_None_B cell_Stroma"	"RCC3-6"	"None"	"B cell"	"Stroma"
"RCC3-6_None_Capillary endothelium_Stroma"	"RCC3-6"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-6_None_CD8 T cell_Stroma"	"RCC3-6"	"None"	"CD8 T cell"	"Stroma"
"RCC3-6_None_Collecting duct cell_Stroma"	"RCC3-6"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-6_None_Fibroblast_Stroma"	"RCC3-6"	"None"	"Fibroblast"	"Stroma"
"RCC3-6_None_Intercalated Cell_Stroma"	"RCC3-6"	"None"	"Intercalated Cell"	"Stroma"
"RCC3-6_None_Intermediate monocyte_Stroma"	"RCC3-6"	"None"	"Intermediate monocyte"	"Stroma"
"RCC3-6_None_M2 macrophage (CD163)_Stroma"	"RCC3-6"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-6_None_Mast cell_Stroma"	"RCC3-6"	"None"	"Mast cell"	"Stroma"
"RCC3-6_None_Myeloid DC_Stroma"	"RCC3-6"	"None"	"Myeloid DC"	"Stroma"
"RCC3-6_None_Myofibroblast_Stroma"	"RCC3-6"	"None"	"Myofibroblast"	"Stroma"
"RCC3-6_None_Naive T cell_Stroma"	"RCC3-6"	"None"	"Naive T cell"	"Stroma"
"RCC3-6_None_Neutrophil_Stroma"	"RCC3-6"	"None"	"Neutrophil"	"Stroma"
"RCC3-6_None_NK cell_Stroma"	"RCC3-6"	"None"	"NK cell"	"Stroma"
"RCC3-6_None_Non-classical monocyte_Stroma"	"RCC3-6"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-6_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-6"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-6_None_Podocyte_Stroma"	"RCC3-6"	"None"	"Podocyte"	"Stroma"
"RCC3-6_None_Proximal tubule_Stroma"	"RCC3-6"	"None"	"Proximal tubule"	"Stroma"
"RCC3-6_None_Regulatory T cell_Stroma"	"RCC3-6"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-6_None_Tumor_Stroma"	"RCC3-6"	"None"	"Tumor"	"Stroma"
"RCC3-6_None_Vasa recta endothelium_Stroma"	"RCC3-6"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-7_None_B cell_Tumor"	"RCC3-7"	"None"	"B cell"	"Tumor"
"RCC3-7_None_Capillary endothelium_Tumor"	"RCC3-7"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-7_None_CD8 T cell_Tumor"	"RCC3-7"	"None"	"CD8 T cell"	"Tumor"
"RCC3-7_None_Collecting duct cell_Tumor"	"RCC3-7"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-7_None_Fibroblast_Tumor"	"RCC3-7"	"None"	"Fibroblast"	"Tumor"
"RCC3-7_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-7"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-7_None_M2 macrophage (CD163)_Tumor"	"RCC3-7"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-7_None_Mast cell_Tumor"	"RCC3-7"	"None"	"Mast cell"	"Tumor"
"RCC3-7_None_Myeloid DC_Tumor"	"RCC3-7"	"None"	"Myeloid DC"	"Tumor"
"RCC3-7_None_Myofibroblast_Tumor"	"RCC3-7"	"None"	"Myofibroblast"	"Tumor"
"RCC3-7_None_Naive CD4 T cell_Tumor"	"RCC3-7"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC3-7_None_Naive T cell_Tumor"	"RCC3-7"	"None"	"Naive T cell"	"Tumor"
"RCC3-7_None_Neutrophil_Tumor"	"RCC3-7"	"None"	"Neutrophil"	"Tumor"
"RCC3-7_None_NK cell_Tumor"	"RCC3-7"	"None"	"NK cell"	"Tumor"
"RCC3-7_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-7"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-7_None_Proximal tubule_Tumor"	"RCC3-7"	"None"	"Proximal tubule"	"Tumor"
"RCC3-7_None_Regulatory T cell_Tumor"	"RCC3-7"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-7_None_Tumor_Tumor"	"RCC3-7"	"None"	"Tumor"	"Tumor"
"RCC3-7_None_Vasa recta endothelium_Tumor"	"RCC3-7"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-8_None_B cell_Stroma"	"RCC3-8"	"None"	"B cell"	"Stroma"
"RCC3-8_None_Capillary endothelium_Stroma"	"RCC3-8"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-8_None_CD8 T cell_Stroma"	"RCC3-8"	"None"	"CD8 T cell"	"Stroma"
"RCC3-8_None_Classical monocyte_Stroma"	"RCC3-8"	"None"	"Classical monocyte"	"Stroma"
"RCC3-8_None_Collecting duct cell_Stroma"	"RCC3-8"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-8_None_Epithelial progenitor cell_Stroma"	"RCC3-8"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC3-8_None_Fibroblast_Stroma"	"RCC3-8"	"None"	"Fibroblast"	"Stroma"
"RCC3-8_None_gdT cell_Stroma"	"RCC3-8"	"None"	"gdT cell"	"Stroma"
"RCC3-8_None_M1 Macrophage (STAT1)_Stroma"	"RCC3-8"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC3-8_None_M2 macrophage (CD163)_Stroma"	"RCC3-8"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-8_None_Mast cell_Stroma"	"RCC3-8"	"None"	"Mast cell"	"Stroma"
"RCC3-8_None_Myeloid DC_Stroma"	"RCC3-8"	"None"	"Myeloid DC"	"Stroma"
"RCC3-8_None_Myofibroblast_Stroma"	"RCC3-8"	"None"	"Myofibroblast"	"Stroma"
"RCC3-8_None_Naive B cell_Stroma"	"RCC3-8"	"None"	"Naive B cell"	"Stroma"
"RCC3-8_None_Naive CD4 T cell_Stroma"	"RCC3-8"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-8_None_Naive T cell_Stroma"	"RCC3-8"	"None"	"Naive T cell"	"Stroma"
"RCC3-8_None_Neutrophil_Stroma"	"RCC3-8"	"None"	"Neutrophil"	"Stroma"
"RCC3-8_None_NK cell_Stroma"	"RCC3-8"	"None"	"NK cell"	"Stroma"
"RCC3-8_None_Non-classical monocyte_Stroma"	"RCC3-8"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-8_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-8"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-8_None_Possibly Mid-Rep (Misc. Cells)_Stroma"	"RCC3-8"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Stroma"
"RCC3-8_None_Proximal tubule_Stroma"	"RCC3-8"	"None"	"Proximal tubule"	"Stroma"
"RCC3-8_None_Regulatory T cell_Stroma"	"RCC3-8"	"None"	"Regulatory T cell"	"Stroma"
